events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
6.6,0.0,4.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.2,0.0,3.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.9,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.3,0.0,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
14.1,0.03546099290780142,9.0,48.0,3.0,baseline_admin_20260801_193937,baseline
18.8,0.031914893617021274,13.0,51.0,5.0,baseline_admin_20260801_193937,baseline
14.5,0.006896551724137931,12.0,48.0,5.0,baseline_admin_20260801_193937,baseline
5.2,0.0,3.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.1,0.0,7.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.2,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.0,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.3,0.0,4.0,48.0,3.0,baseline_admin_20260801_193937,baseline
9.7,0.020618556701030927,8.0,48.0,3.0,baseline_admin_20260801_193937,baseline
8.5,0.023529411764705882,7.0,48.0,3.0,baseline_admin_20260801_193937,baseline
357.6,0.0002796420581655481,11.0,3333.0,3.0,baseline_admin_20260801_193937,baseline
443.8,0.0002253267237494367,9.0,4357.0,3.0,baseline_admin_20260801_193937,baseline
6.1,0.0,4.0,48.0,3.0,baseline_admin_20260801_193937,baseline
27.2,0.058823529411764705,10.0,62.0,4.0,baseline_admin_20260801_193937,baseline
28.0,0.05714285714285714,8.0,62.0,4.0,baseline_admin_20260801_193937,baseline
6.3,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
230.3,0.0008684324793747286,8.0,2225.0,3.0,baseline_admin_20260801_193937,baseline
6.4,0.0,7.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.0,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
25.3,0.03162055335968379,21.0,84.0,5.0,baseline_admin_20260801_193937,baseline
9.0,0.0,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.8,0.0,8.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.0,0.0,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.2,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.9,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
5.3,0.0,4.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.7,0.0,5.0,48.0,3.0,baseline_admin_20260801_193937,baseline
7.5,0.02666666666666667,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.1,0.0,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
6.3,0.0,6.0,48.0,3.0,baseline_admin_20260801_193937,baseline
1421.8,0.023491348994232664,54.0,7118.0,8.0,baseline_browsing_20260801_174650,baseline
333.2,0.0,18.0,1862.0,4.0,baseline_browsing_20260801_174650,baseline
289.8,0.0006901311249137336,19.0,1895.0,4.0,baseline_browsing_20260801_174650,baseline
96.4,0.0,14.0,611.0,5.0,baseline_browsing_20260801_174650,baseline
86.5,0.0,17.0,355.0,3.0,baseline_browsing_20260801_174650,baseline
104.7,0.0,11.0,797.0,3.0,baseline_browsing_20260801_174650,baseline
17614.6,5.109397885844697e-05,28.0,174929.0,5.0,baseline_browsing_20260801_174650,baseline
162.9,0.0,13.0,1366.0,3.0,baseline_browsing_20260801_174650,baseline
365.4,0.0002736726874657909,13.0,2087.0,6.0,baseline_browsing_20260801_174650,baseline
880.2,0.0,15.0,6698.0,3.0,baseline_browsing_20260801_174650,baseline
471.1,0.0,17.0,3312.0,3.0,baseline_browsing_20260801_174650,baseline
101.8,0.0,15.0,804.0,3.0,baseline_browsing_20260801_174650,baseline
244.4,0.0,12.0,1855.0,4.0,baseline_browsing_20260801_174650,baseline
141.5,0.0,12.0,878.0,4.0,baseline_browsing_20260801_174650,baseline
81.5,0.0,10.0,657.0,3.0,baseline_browsing_20260801_174650,baseline
143.0,0.0,13.0,971.0,3.0,baseline_browsing_20260801_174650,baseline
185.0,0.0,14.0,1416.0,4.0,baseline_browsing_20260801_174650,baseline
33.2,0.0,10.0,255.0,4.0,baseline_browsing_20260801_174650,baseline
87.3,0.0,14.0,485.0,3.0,baseline_browsing_20260801_174650,baseline
69.9,0.00715307582260372,17.0,182.0,3.0,baseline_browsing_20260801_174650,baseline
7.5,0.0,7.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
16.9,0.0,11.0,72.0,4.0,baseline_browsing_20260801_174650,baseline
21.9,0.0,10.0,152.0,3.0,baseline_browsing_20260801_174650,baseline
19.8,0.0,9.0,122.0,4.0,baseline_browsing_20260801_174650,baseline
30.0,0.0,9.0,244.0,3.0,baseline_browsing_20260801_174650,baseline
18.1,0.0,9.0,101.0,3.0,baseline_browsing_20260801_174650,baseline
50.0,0.0,9.0,314.0,3.0,baseline_browsing_20260801_174650,baseline
191.5,0.0005221932114882506,14.0,1389.0,3.0,baseline_browsing_20260801_174650,baseline
331.6,0.0,11.0,1858.0,3.0,baseline_browsing_20260801_174650,baseline
655.5,0.0,13.0,3869.0,4.0,baseline_browsing_20260801_174650,baseline
76.4,0.0,12.0,551.0,3.0,baseline_browsing_20260801_174650,baseline
102.3,0.0009775171065493646,14.0,554.0,3.0,baseline_browsing_20260801_174650,baseline
667.7,0.0,12.0,4235.0,3.0,baseline_browsing_20260801_174650,baseline
781.8,0.0,19.0,5058.0,3.0,baseline_browsing_20260801_174650,baseline
379.8,0.0002632964718272775,17.0,2074.0,3.0,baseline_browsing_20260801_174650,baseline
